PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Hreflang links,Hreflang links codes,Hreflang issues,Hreflang group ID,No. of hreflang inlinks,No. of all inlinks
20,https://handlemyfile.com/uk/obrizati-pdf,Обрізати PDF-файл онлайн - видаліть поля з PDF-файлу лока...,text/html; charset=utf-8,false,200,0,true,,,Some pages don't include hreflang links to all the other pages of the group,,14,14
20,https://handlemyfile.com/id/pangkas-pdf,Pangkas PDF Online - Hapus Margin dari PDF Secara Lokal,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/qs-mlf-pdf
https://handlemyfile.com/crop-pdf
https://handlemyfile.com/crop-pdf
https://handlemyfile.com/cs/oriznout-pdf
https://handlemyfile.com/da/beskaer-pdf
https://handlemyfile.com/de/pdf-zuschneiden
https://handlemyfile.com/el/perikopi-pdf
https://handlemyfile.com/es/recortar-pdf
https://handlemyfile.com/fi/rajaa-pdf
https://handlemyfile.com/fr/recadrer-le-pdf
https://handlemyfile.com/he/khytvk-pdf
https://handlemyfile.com/hi/piiddiieph-kaatten
https://handlemyfile.com/hu/pdf-kivagasa
https://handlemyfile.com/id/pangkas-pdf
https://handlemyfile.com/it/ritaglia-pdf
https://handlemyfile.com/ja/pdf-torimingu
https://handlemyfile.com/ko/pdf-jareugi
https://handlemyfile.com/ms/pangkas-pdf
https://handlemyfile.com/nl/pdf-bijsnijden
https://handlemyfile.com/no/beskjaer-pdf
https://handlemyfile.com/pl/przytnij-plik-pdf
https://handlemyfile.com/pt/cortar-pdf
https://handlemyfile.com/ro/decupati-pdf
https://handlemyfile.com/ru/obrezat-pdf
https://handlemyfile.com/sk/orezat-pdf
https://handlemyfile.com/sv/beskar-pdf
https://handlemyfile.com/th/khr-btad-pdf
https://handlemyfile.com/tr/pdf-yi-kirp
https://handlemyfile.com/uk/obrizati-pdf
https://handlemyfile.com/vi/cat-pdf
https://handlemyfile.com/zh/cai-jian-pdf","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages don't include hreflang links to all the other pages of the group,13291092411000368166,13,13
20,https://handlemyfile.com/ro/decupati-pdf,Decupați PDF online - Eliminați marjele din PDF local,text/html; charset=utf-8,false,200,0,true,,,Some pages don't include hreflang links to all the other pages of the group,,14,14
20,https://handlemyfile.com/el/perikopi-pdf,Περικοπή PDF Online - Κατάργηση περιθωρίων από το PDF Τοπικά,text/html; charset=utf-8,false,200,0,true,,,Some pages don't include hreflang links to all the other pages of the group,,14,14
20,https://handlemyfile.com/cs/oriznout-pdf,Oříznout PDF online – odstranit okraje z PDF lokálně,text/html; charset=utf-8,false,200,0,true,,,Some pages don't include hreflang links to all the other pages of the group,,14,14
20,https://handlemyfile.com/pl/przytnij-plik-pdf,Przytnij plik PDF online — usuń marginesy z pliku PDF lok...,text/html; charset=utf-8,false,200,0,true,,,Some pages don't include hreflang links to all the other pages of the group,,14,14
20,https://handlemyfile.com/fr/recadrer-le-pdf,Recadrer le PDF en ligne - Supprimer les marges du PDF lo...,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/qs-mlf-pdf
https://handlemyfile.com/crop-pdf
https://handlemyfile.com/crop-pdf
https://handlemyfile.com/cs/oriznout-pdf
https://handlemyfile.com/da/beskaer-pdf
https://handlemyfile.com/de/pdf-zuschneiden
https://handlemyfile.com/el/perikopi-pdf
https://handlemyfile.com/es/recortar-pdf
https://handlemyfile.com/fi/rajaa-pdf
https://handlemyfile.com/fr/recadrer-le-pdf
https://handlemyfile.com/he/khytvk-pdf
https://handlemyfile.com/hi/piiddiieph-kaatten
https://handlemyfile.com/hu/pdf-kivagasa
https://handlemyfile.com/id/pangkas-pdf
https://handlemyfile.com/it/ritaglia-pdf
https://handlemyfile.com/ja/pdf-torimingu
https://handlemyfile.com/ko/pdf-jareugi
https://handlemyfile.com/ms/pangkas-pdf
https://handlemyfile.com/nl/pdf-bijsnijden
https://handlemyfile.com/no/beskjaer-pdf
https://handlemyfile.com/pl/przytnij-plik-pdf
https://handlemyfile.com/pt/cortar-pdf
https://handlemyfile.com/ro/decupati-pdf
https://handlemyfile.com/ru/obrezat-pdf
https://handlemyfile.com/sk/orezat-pdf
https://handlemyfile.com/sv/beskar-pdf
https://handlemyfile.com/th/khr-btad-pdf
https://handlemyfile.com/tr/pdf-yi-kirp
https://handlemyfile.com/uk/obrizati-pdf
https://handlemyfile.com/vi/cat-pdf
https://handlemyfile.com/zh/cai-jian-pdf","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages don't include hreflang links to all the other pages of the group,13291092411000368166,13,13
20,https://handlemyfile.com/tr/pdf-yi-kirp,PDF'yi Çevrimiçi Kırp - PDF'deki Kenar Boşluklarını Yerel...,text/html; charset=utf-8,false,200,0,true,,,Some pages don't include hreflang links to all the other pages of the group,,14,14
20,https://handlemyfile.com/it/ritaglia-pdf,Ritaglia PDF online: rimuovi i margini dal PDF localmente,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/qs-mlf-pdf
https://handlemyfile.com/crop-pdf
https://handlemyfile.com/crop-pdf
https://handlemyfile.com/cs/oriznout-pdf
https://handlemyfile.com/da/beskaer-pdf
https://handlemyfile.com/de/pdf-zuschneiden
https://handlemyfile.com/el/perikopi-pdf
https://handlemyfile.com/es/recortar-pdf
https://handlemyfile.com/fi/rajaa-pdf
https://handlemyfile.com/fr/recadrer-le-pdf
https://handlemyfile.com/he/khytvk-pdf
https://handlemyfile.com/hi/piiddiieph-kaatten
https://handlemyfile.com/hu/pdf-kivagasa
https://handlemyfile.com/id/pangkas-pdf
https://handlemyfile.com/it/ritaglia-pdf
https://handlemyfile.com/ja/pdf-torimingu
https://handlemyfile.com/ko/pdf-jareugi
https://handlemyfile.com/ms/pangkas-pdf
https://handlemyfile.com/nl/pdf-bijsnijden
https://handlemyfile.com/no/beskjaer-pdf
https://handlemyfile.com/pl/przytnij-plik-pdf
https://handlemyfile.com/pt/cortar-pdf
https://handlemyfile.com/ro/decupati-pdf
https://handlemyfile.com/ru/obrezat-pdf
https://handlemyfile.com/sk/orezat-pdf
https://handlemyfile.com/sv/beskar-pdf
https://handlemyfile.com/th/khr-btad-pdf
https://handlemyfile.com/tr/pdf-yi-kirp
https://handlemyfile.com/uk/obrizati-pdf
https://handlemyfile.com/vi/cat-pdf
https://handlemyfile.com/zh/cai-jian-pdf","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages don't include hreflang links to all the other pages of the group,13291092411000368166,13,13
20,https://handlemyfile.com/ar/qs-mlf-pdf,قص ملف PDF عبر الإنترنت - إزالة الهوامش من ملف PDF محليًا,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/qs-mlf-pdf
https://handlemyfile.com/crop-pdf
https://handlemyfile.com/crop-pdf
https://handlemyfile.com/cs/oriznout-pdf
https://handlemyfile.com/da/beskaer-pdf
https://handlemyfile.com/de/pdf-zuschneiden
https://handlemyfile.com/el/perikopi-pdf
https://handlemyfile.com/es/recortar-pdf
https://handlemyfile.com/fi/rajaa-pdf
https://handlemyfile.com/fr/recadrer-le-pdf
https://handlemyfile.com/he/khytvk-pdf
https://handlemyfile.com/hi/piiddiieph-kaatten
https://handlemyfile.com/hu/pdf-kivagasa
https://handlemyfile.com/id/pangkas-pdf
https://handlemyfile.com/it/ritaglia-pdf
https://handlemyfile.com/ja/pdf-torimingu
https://handlemyfile.com/ko/pdf-jareugi
https://handlemyfile.com/ms/pangkas-pdf
https://handlemyfile.com/nl/pdf-bijsnijden
https://handlemyfile.com/no/beskjaer-pdf
https://handlemyfile.com/pl/przytnij-plik-pdf
https://handlemyfile.com/pt/cortar-pdf
https://handlemyfile.com/ro/decupati-pdf
https://handlemyfile.com/ru/obrezat-pdf
https://handlemyfile.com/sk/orezat-pdf
https://handlemyfile.com/sv/beskar-pdf
https://handlemyfile.com/th/khr-btad-pdf
https://handlemyfile.com/tr/pdf-yi-kirp
https://handlemyfile.com/uk/obrizati-pdf
https://handlemyfile.com/vi/cat-pdf
https://handlemyfile.com/zh/cai-jian-pdf","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages don't include hreflang links to all the other pages of the group,13291092411000368166,13,13
20,https://handlemyfile.com/hi/piiddiieph-kaatten,पीडीएफ को ऑनलाइन क्रॉप करें - स्थानीय रूप से पीडीएफ से मा...,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/qs-mlf-pdf
https://handlemyfile.com/crop-pdf
https://handlemyfile.com/crop-pdf
https://handlemyfile.com/cs/oriznout-pdf
https://handlemyfile.com/da/beskaer-pdf
https://handlemyfile.com/de/pdf-zuschneiden
https://handlemyfile.com/el/perikopi-pdf
https://handlemyfile.com/es/recortar-pdf
https://handlemyfile.com/fi/rajaa-pdf
https://handlemyfile.com/fr/recadrer-le-pdf
https://handlemyfile.com/he/khytvk-pdf
https://handlemyfile.com/hi/piiddiieph-kaatten
https://handlemyfile.com/hu/pdf-kivagasa
https://handlemyfile.com/id/pangkas-pdf
https://handlemyfile.com/it/ritaglia-pdf
https://handlemyfile.com/ja/pdf-torimingu
https://handlemyfile.com/ko/pdf-jareugi
https://handlemyfile.com/ms/pangkas-pdf
https://handlemyfile.com/nl/pdf-bijsnijden
https://handlemyfile.com/no/beskjaer-pdf
https://handlemyfile.com/pl/przytnij-plik-pdf
https://handlemyfile.com/pt/cortar-pdf
https://handlemyfile.com/ro/decupati-pdf
https://handlemyfile.com/ru/obrezat-pdf
https://handlemyfile.com/sk/orezat-pdf
https://handlemyfile.com/sv/beskar-pdf
https://handlemyfile.com/th/khr-btad-pdf
https://handlemyfile.com/tr/pdf-yi-kirp
https://handlemyfile.com/uk/obrizati-pdf
https://handlemyfile.com/vi/cat-pdf
https://handlemyfile.com/zh/cai-jian-pdf","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages don't include hreflang links to all the other pages of the group,13291092411000368166,13,13
20,https://handlemyfile.com/nl/pdf-bijsnijden,PDF online bijsnijden - Marges lokaal uit PDF verwijderen,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/qs-mlf-pdf
https://handlemyfile.com/crop-pdf
https://handlemyfile.com/crop-pdf
https://handlemyfile.com/cs/oriznout-pdf
https://handlemyfile.com/da/beskaer-pdf
https://handlemyfile.com/de/pdf-zuschneiden
https://handlemyfile.com/el/perikopi-pdf
https://handlemyfile.com/es/recortar-pdf
https://handlemyfile.com/fi/rajaa-pdf
https://handlemyfile.com/fr/recadrer-le-pdf
https://handlemyfile.com/he/khytvk-pdf
https://handlemyfile.com/hi/piiddiieph-kaatten
https://handlemyfile.com/hu/pdf-kivagasa
https://handlemyfile.com/id/pangkas-pdf
https://handlemyfile.com/it/ritaglia-pdf
https://handlemyfile.com/ja/pdf-torimingu
https://handlemyfile.com/ko/pdf-jareugi
https://handlemyfile.com/ms/pangkas-pdf
https://handlemyfile.com/nl/pdf-bijsnijden
https://handlemyfile.com/no/beskjaer-pdf
https://handlemyfile.com/pl/przytnij-plik-pdf
https://handlemyfile.com/pt/cortar-pdf
https://handlemyfile.com/ro/decupati-pdf
https://handlemyfile.com/ru/obrezat-pdf
https://handlemyfile.com/sk/orezat-pdf
https://handlemyfile.com/sv/beskar-pdf
https://handlemyfile.com/th/khr-btad-pdf
https://handlemyfile.com/tr/pdf-yi-kirp
https://handlemyfile.com/uk/obrizati-pdf
https://handlemyfile.com/vi/cat-pdf
https://handlemyfile.com/zh/cai-jian-pdf","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages don't include hreflang links to all the other pages of the group,13291092411000368166,13,13
20,https://handlemyfile.com/zh/cai-jian-pdf,在线裁剪 PDF - 本地删除 PDF 的边距 | HandleMyFile,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/qs-mlf-pdf
https://handlemyfile.com/crop-pdf
https://handlemyfile.com/crop-pdf
https://handlemyfile.com/cs/oriznout-pdf
https://handlemyfile.com/da/beskaer-pdf
https://handlemyfile.com/de/pdf-zuschneiden
https://handlemyfile.com/el/perikopi-pdf
https://handlemyfile.com/es/recortar-pdf
https://handlemyfile.com/fi/rajaa-pdf
https://handlemyfile.com/fr/recadrer-le-pdf
https://handlemyfile.com/he/khytvk-pdf
https://handlemyfile.com/hi/piiddiieph-kaatten
https://handlemyfile.com/hu/pdf-kivagasa
https://handlemyfile.com/id/pangkas-pdf
https://handlemyfile.com/it/ritaglia-pdf
https://handlemyfile.com/ja/pdf-torimingu
https://handlemyfile.com/ko/pdf-jareugi
https://handlemyfile.com/ms/pangkas-pdf
https://handlemyfile.com/nl/pdf-bijsnijden
https://handlemyfile.com/no/beskjaer-pdf
https://handlemyfile.com/pl/przytnij-plik-pdf
https://handlemyfile.com/pt/cortar-pdf
https://handlemyfile.com/ro/decupati-pdf
https://handlemyfile.com/ru/obrezat-pdf
https://handlemyfile.com/sk/orezat-pdf
https://handlemyfile.com/sv/beskar-pdf
https://handlemyfile.com/th/khr-btad-pdf
https://handlemyfile.com/tr/pdf-yi-kirp
https://handlemyfile.com/uk/obrizati-pdf
https://handlemyfile.com/vi/cat-pdf
https://handlemyfile.com/zh/cai-jian-pdf","200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages don't include hreflang links to all the other pages of the group,13291092411000368166,13,13
