PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
1,https://handlemyfile.com/sv/,,text/plain,false,308,0,https://handlemyfile.com/sv,200,,,https://handlemyfile.com/sv,200,false,29,0,
1,https://handlemyfile.com/el/,,text/plain,false,308,0,https://handlemyfile.com/el,200,,,https://handlemyfile.com/el,200,false,29,0,
1,https://handlemyfile.com/pt/,,text/plain,false,308,0,https://handlemyfile.com/pt,200,,,https://handlemyfile.com/pt,200,false,29,0,
1,https://handlemyfile.com/fr/,,text/plain,false,308,0,https://handlemyfile.com/fr,200,,,https://handlemyfile.com/fr,200,false,29,0,
1,https://handlemyfile.com/hi/,,text/plain,false,308,0,https://handlemyfile.com/hi,200,,,https://handlemyfile.com/hi,200,false,29,0,
1,https://handlemyfile.com/ko/,,text/plain,false,308,0,https://handlemyfile.com/ko,200,,,https://handlemyfile.com/ko,200,false,29,0,
1,https://handlemyfile.com/es/,,text/plain,false,308,0,https://handlemyfile.com/es,200,,,https://handlemyfile.com/es,200,false,29,0,
1,https://handlemyfile.com/cs/,,text/plain,false,308,0,https://handlemyfile.com/cs,200,,,https://handlemyfile.com/cs,200,false,29,0,
1,https://handlemyfile.com/zh/,,text/plain,false,308,0,https://handlemyfile.com/zh,200,,,https://handlemyfile.com/zh,200,false,29,0,
1,https://handlemyfile.com/pl/,,text/plain,false,308,0,https://handlemyfile.com/pl,200,,,https://handlemyfile.com/pl,200,false,29,0,
1,https://handlemyfile.com/da/,,text/plain,false,308,0,https://handlemyfile.com/da,200,,,https://handlemyfile.com/da,200,false,29,0,
1,https://handlemyfile.com/ru/,,text/plain,false,308,0,https://handlemyfile.com/ru,200,,,https://handlemyfile.com/ru,200,false,29,0,
1,https://handlemyfile.com/ro/,,text/plain,false,308,0,https://handlemyfile.com/ro,200,,,https://handlemyfile.com/ro,200,false,29,0,
1,https://handlemyfile.com/th/,,text/plain,false,308,0,https://handlemyfile.com/th,200,,,https://handlemyfile.com/th,200,false,29,0,
1,https://handlemyfile.com/id/,,text/plain,false,308,0,https://handlemyfile.com/id,200,,,https://handlemyfile.com/id,200,false,29,0,
1,https://handlemyfile.com/nl/,,text/plain,false,308,0,https://handlemyfile.com/nl,200,,,https://handlemyfile.com/nl,200,false,29,0,
1,https://handlemyfile.com/vi/,,text/plain,false,308,0,https://handlemyfile.com/vi,200,,,https://handlemyfile.com/vi,200,false,29,0,
1,https://handlemyfile.com/tr/,,text/plain,false,308,0,https://handlemyfile.com/tr,200,,,https://handlemyfile.com/tr,200,false,29,0,
1,https://handlemyfile.com/he/,,text/plain,false,308,0,https://handlemyfile.com/he,200,,,https://handlemyfile.com/he,200,false,29,0,
1,https://handlemyfile.com/no/,,text/plain,false,308,0,https://handlemyfile.com/no,200,,,https://handlemyfile.com/no,200,false,29,0,
1,https://handlemyfile.com/de/,,text/plain,false,308,0,https://handlemyfile.com/de,200,,,https://handlemyfile.com/de,200,false,29,0,
1,https://handlemyfile.com/hu/,,text/plain,false,308,0,https://handlemyfile.com/hu,200,,,https://handlemyfile.com/hu,200,false,29,0,
1,https://handlemyfile.com/ja/,,text/plain,false,308,0,https://handlemyfile.com/ja,200,,,https://handlemyfile.com/ja,200,false,29,0,
1,https://handlemyfile.com/fi/,,text/plain,false,308,0,https://handlemyfile.com/fi,200,,,https://handlemyfile.com/fi,200,false,29,0,
1,https://handlemyfile.com/it/,,text/plain,false,308,0,https://handlemyfile.com/it,200,,,https://handlemyfile.com/it,200,false,29,0,
1,https://handlemyfile.com/uk/,,text/plain,false,308,0,https://handlemyfile.com/uk,200,,,https://handlemyfile.com/uk,200,false,29,0,
1,https://handlemyfile.com/ms/,,text/plain,false,308,0,https://handlemyfile.com/ms,200,,,https://handlemyfile.com/ms,200,false,29,0,
1,https://handlemyfile.com/ar/,,text/plain,false,308,0,https://handlemyfile.com/ar,200,,,https://handlemyfile.com/ar,200,false,29,0,
1,https://handlemyfile.com/sk/,,text/plain,false,308,0,https://handlemyfile.com/sk,200,,,https://handlemyfile.com/sk,200,false,29,0,
0,http://www.handlemyfile.com/,,text/plain,false,308,0,https://www.handlemyfile.com/,308,,,"https://www.handlemyfile.com/
https://handlemyfile.com/","308
200",false,0,0,
0,https://www.handlemyfile.com/,,text/plain,false,308,0,https://handlemyfile.com/,200,,,https://handlemyfile.com/,200,false,1,1,
0,http://handlemyfile.com/,,text/plain,false,308,0,https://handlemyfile.com/,200,,,https://handlemyfile.com/,200,false,0,0,
