PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Open Graph URL,Canonical URL,Canonical URL code,Canonical URL patch,Canonical URL patch status,Is valid Open Graph,Open Graph attributes,Open Graph values,Depth,Is indexable page,No. of all inlinks
21,https://handlemyfile.com/da/fjern-metadata,Fjern PDF-metadata - Sanitize Properties Online | HandleMyFile,text/html; charset=utf-8,false,200,0,https://handlemyfile.com/,https://handlemyfile.com/da/fjern-metadata,200,,,true,"og:description
og:title
og:image
og:url
og:type","Fjern forfatter, skaber og andre skjulte digitale fodaftryksegenskaber fra dine PDF-filer offline for bedre privatliv.
Fjern PDF-metadata - Sanitize Properties Online | HandleMyFile
/logo.png
https://handlemyfile.com/
website",0,true,29
21,https://handlemyfile.com/sk/csv-do-excelu,Bezplatný prevodník CSV do Excelu (.xlsx) – Instant Browser Engine | HandleMyFile,text/html; charset=utf-8,false,200,0,https://handlemyfile.com/,https://handlemyfile.com/sk/csv-do-excelu,200,,,true,"og:description
og:title
og:image
og:url
og:type","Premeňte nespracované súbory CSV na správne formátované tabuľky programu Excel s podporou viacerých hárkov a nulovou stratou údajov offline.
Bezplatný prevodník CSV do Excelu (.xlsx) – Instant Browser Engine | HandleMyFile
/logo.png
https://handlemyfile.com/
website",0,true,29
21,https://handlemyfile.com/ja/pdf-risaizu,PDF ページのサイズを変更する - PDF ページのサイズと余白を変更する | HandleMyFile,text/html; charset=utf-8,false,200,0,https://handlemyfile.com/,https://handlemyfile.com/ja/pdf-risaizu,200,,,true,"og:description
og:title
og:image
og:url
og:type","PDF ページのサイズを A4 やレターなどの標準サイズに変更し、余白を追加して、コンテンツを完全に中央に配置します。
PDF ページのサイズを変更する - PDF ページのサイズと余白を変更する | HandleMyFile
/logo.png
https://handlemyfile.com/
website",0,true,29
21,https://handlemyfile.com/he/hshvvh-pdf,השווה PDF - מצא הבדלים בין שני קובצי PDF | HandleMyFile,text/html; charset=utf-8,false,200,0,https://handlemyfile.com/,https://handlemyfile.com/he/hshvvh-pdf,200,,,true,"og:description
og:title
og:image
og:url
og:type","העלה שני קובצי PDF והדגש את ההבדלים החזותיים ביניהם פיקסל אחר פיקסל באופן מקומי.
השווה PDF - מצא הבדלים בין שני קובצי PDF | HandleMyFile
/logo.png
https://handlemyfile.com/
website",0,true,29
21,https://handlemyfile.com/fr/r-organiser-les-pages-pdf-par-glisser-d-poser,Reorder PDF Pages Drag and Drop Free | HandleMyFile,text/html; charset=utf-8,false,200,0,https://handlemyfile.com/,https://handlemyfile.com/fr/r-organiser-les-pages-pdf-par-glisser-d-poser,200,,,true,"og:description
og:title
og:image
og:url
og:type","Organize and reorder pages in your PDF document visually by dragging and dropping thumbnails. 100% free and local.
Reorder PDF Pages Drag and Drop Free | HandleMyFile
/logo.png
https://handlemyfile.com/
website",0,true,29
21,https://handlemyfile.com/da/scannet-pdf-til-tekst-ocr,Convert Scanned PDF to Text | HandleMyFile,text/html; charset=utf-8,false,200,0,https://handlemyfile.com/,https://handlemyfile.com/da/scannet-pdf-til-tekst-ocr,200,,,true,"og:description
og:title
og:image
og:url
og:type","Turn non-searchable scanned PDFs and images into editable plain text locally using multi-language WebAssembly OCR workers.
Convert Scanned PDF to Text | HandleMyFile
/logo.png
https://handlemyfile.com/
website",0,true,29
21,https://handlemyfile.com/zh/pdf-word,Free PDF to Word Converter (.docx) Without Losing Formatting | HandleMyFile,text/html; charset=utf-8,false,200,0,https://handlemyfile.com/,https://handlemyfile.com/zh/pdf-word,200,,,true,"og:description
og:title
og:image
og:url
og:type","Extract exact text, layout runs, and paragraphs from any PDF into a clean Microsoft Word (.docx) file directly inside browser memory.
Free PDF to Word Converter (.docx) Without Losing Formatting | HandleMyFile
/logo.png
https://handlemyfile.com/
website",0,true,29
21,https://handlemyfile.com/he/excel-l-csv,ממיר Excel ל-CSV בחינם (.xlsx ל-.csv) - אפס העלאות | HandleMyFile,text/html; charset=utf-8,false,200,0,https://handlemyfile.com/,https://handlemyfile.com/he/excel-l-csv,200,,,true,"og:description
og:title
og:image
og:url
og:type","ייצא במהירות נתונים מגיליונות אלקטרוניים של Microsoft Excel (.xlsx, .xls) לפורמט CSV אוניברסלי לגמרי בדפדפן שלך.
ממיר Excel ל-CSV בחינם (.xlsx ל-.csv) - אפס העלאות | HandleMyFile
/logo.png
https://handlemyfile.com/
website",0,true,29
21,https://handlemyfile.com/ro/csv-in-excel,Convertor gratuit CSV în Excel (.xlsx) - Motor de browser instantaneu | HandleMyFile,text/html; charset=utf-8,false,200,0,https://handlemyfile.com/,https://handlemyfile.com/ro/csv-in-excel,200,,,true,"og:description
og:title
og:image
og:url
og:type","Transformați fișierele CSV brute în foi de calcul Excel formatate corespunzător, cu suport pentru mai multe foi și fără pierderi de date offline.
Convertor gratuit CSV în Excel (.xlsx) - Motor de browser instantaneu | HandleMyFile
/logo.png
https://handlemyfile.com/
website",0,true,29
21,https://handlemyfile.com/es/imagen-a-pdf,Convierta JPG y PNG a PDF en línea: imágenes a PDF localmente | HandleMyFile,text/html; charset=utf-8,false,200,0,https://handlemyfile.com/,https://handlemyfile.com/es/imagen-a-pdf,200,,,true,"og:description
og:title
og:image
og:url
og:type","Combine fotos, capturas de pantalla o imágenes PNG/JPG en un único documento PDF limpio de forma local sin necesidad de cargarlo.
Convierta JPG y PNG a PDF en línea: imágenes a PDF localmente | HandleMyFile
/logo.png
https://handlemyfile.com/
website",0,true,29
