PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Title patch,Title patch status,Title length,No. of titles,Is indexable page
21,https://handlemyfile.com/sk/csv-do-excelu,Bezplatný prevodník CSV do Excelu (.xlsx) – Instant Browser Engine | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,81,1,true
21,https://handlemyfile.com/zh/pdf-word,Free PDF to Word Converter (.docx) Without Losing Formatting | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,75,1,true
21,https://handlemyfile.com/ro/csv-in-excel,Convertor gratuit CSV în Excel (.xlsx) - Motor de browser instantaneu | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,84,1,true
21,https://handlemyfile.com/es/imagen-a-pdf,Convierta JPG y PNG a PDF en línea: imágenes a PDF localmente | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,76,1,true
21,https://handlemyfile.com/tr/pdf-nin-kilidini-acin,PDF Online'ın Kilidini Açın - PDF Parolasını Yerel Olarak Kaldır | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,79,1,true
21,https://handlemyfile.com/vi/csv-sang-excel,Công cụ chuyển đổi CSV sang Excel miễn phí (.xlsx) - Công cụ trình duyệt tức thì | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,95,1,true
21,https://handlemyfile.com/hi/piiddiieph-ghumaaen,पीडीएफ पेजों को ऑनलाइन घुमाएँ - पीडीएफ को 90/180/270 डिग्री स्थानीय रूप से घुमाएँ | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,96,1,true
21,https://handlemyfile.com/ru/csv-v-excel,Бесплатный конвертер CSV в Excel (.xlsx) — механизм мгновенного браузера | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,87,1,true
21,https://handlemyfile.com/ar/tqsym-qwt-ldfaa-lshaaby,تقسيم ملف PDF عبر الإنترنت - استخراج الصفحات بشكل منفصل | الخصوصية من جانب العميل | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,96,1,true
21,https://handlemyfile.com/hi/pdf-to-word-without-losing-formatting,Free PDF to Word Converter (.docx) Without Losing Formatting | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,75,1,true
21,https://handlemyfile.com/el/peristrofi-pdf,Περιστροφή σελίδων PDF Online - Περιστρέψτε το PDF 90/180/270 μοίρες τοπικά | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,90,1,true
21,https://handlemyfile.com/nl/pdf-naar-ppt,Gratis PDF naar PowerPoint-converter (.pptx) - Geen uploads | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,74,1,true
21,https://handlemyfile.com/nl/watermerk-pdf,Watermerk toevoegen aan PDF - Aangepaste tekst of afbeelding lokaal stempelen | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,92,1,true
21,https://handlemyfile.com/ro/txt-in-pdf,Convertiți TXT în PDF online - Text simplu în document PDF | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,73,1,true
21,https://handlemyfile.com/uk/ppt-v-pdf,Конвертуйте PowerPoint у PDF - PPTX Slides to PDF Locally | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,72,1,true
21,https://handlemyfile.com/fr/pdf-en-image,Convertir des PDF en images JPG/PNG en ligne - Extraire des pages en ZIP | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,87,1,true
21,https://handlemyfile.com/hi/piiddiieph-se-piipiittii,मुफ़्त पीडीएफ से पावरपॉइंट कन्वर्टर (.pptx) - शून्य अपलोड | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,72,1,true
21,https://handlemyfile.com/ro/pdf-invers,Inversați paginile PDF - Schimbați ordinea paginilor PDF înapoi | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,78,1,true
21,https://handlemyfile.com/th/excel-epn-pdf,แปลง Excel เป็น PDF ออนไลน์ - XLSX & XLS เป็น PDF ในเครื่อง | HandleMyFile,text/html; charset=utf-8,false,200,0,0,,,74,1,true
